State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Texas,2040,3.2472,3.4495,3.7519,4.1556
Texas,2050,2.9159,3.1183,3.4206,3.8244
Texas,2060,2.5984,2.8007,3.1031,3.5068
Utah,2022,6.187,6.389,6.691,7.0942
Utah,2030,4.1626,4.3647,4.6667,5.0699
Utah,2040,3.6321,3.8341,4.1361,4.5394
Utah,2050,3.2386,3.4407,3.7427,4.1459
Utah,2060,2.8611,3.0631,3.3651,3.7683
Vermont,2022,8.6512,8.8536,9.1559,9.5596
Vermont,2030,6.1121,6.3144,6.6167,7.0205
Vermont,2040,5.3494,5.5517,5.8541,6.2578
Vermont,2050,4.7649,4.9672,5.2696,5.6733
Vermont,2060,4.2031,4.4054,4.7077,5.1115
Virginia,2022,6.9921,7.1945,7.4969,7.9008
Virginia,2030,4.7838,4.9863,5.2887,5.6926
Virginia,2040,4.1803,4.3827,4.6852,5.0891
Virginia,2050,3.7279,3.9303,4.2328,4.6367
Virginia,2060,3.2935,3.4959,3.7984,4.2023
Washington,2022,5.6194,5.8211,6.1228,6.5256
Washington,2030,3.5927,3.7944,4.0961,4.4989
Washington,2040,3.1233,3.325,3.6268,4.0295
Washington,2050,2.7872,2.9889,3.2906,3.6934
Washington,2060,2.4653,2.667,2.9687,3.3715
West Virginia,2022,6.6738,6.8762,7.1786,7.5824
West Virginia,2030,4.4859,4.6883,4.9907,5.3945
West Virginia,2040,3.9145,4.1168,4.4192,4.8231
West Virginia,2050,3.491,3.6934,3.9958,4.3996
West Virginia,2060,3.0847,3.2871,3.5895,3.9933
Wisconsin,2022,6.5328,6.735,7.0371,7.4406
Wisconsin,2030,4.4047,4.6068,4.909,5.3124
Wisconsin,2040,3.8448,4.0469,4.3491,4.7525
Wisconsin,2050,3.4291,3.6313,3.9334,4.3369
Wisconsin,2060,3.0303,3.2324,3.5346,3.938
Wyoming,2022,6.4949,6.6969,6.9988,7.402
Wyoming,2030,4.4384,4.6404,4.9423,5.3455
Wyoming,2040,3.8769,4.0789,4.3809,4.7841
Wyoming,2050,3.4562,3.6582,3.9601,4.3633
Wyoming,2060,3.0522,3.2542,3.5562,3.9593
