State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Washington,2030,0.618,235.0,48.8,0.0605,0.0,0.0228,6.9,0.2157,0.1059,0.2949,2.9534,3.5927,3.7944,4.0961,4.4989
Washington,2040,0.618,192.66,47.14,0.0554,0.0,0.0228,6.9,0.1708,0.0839,0.2335,2.6123,3.1233,3.325,3.6268,4.0295
Washington,2050,0.618,177.56,46.18,0.0503,0.0,0.0228,6.9,0.1542,0.0757,0.2108,2.3236,2.7872,2.9889,3.2906,3.6934
Washington,2060,0.618,163.64,45.22,0.0452,0.0,0.0228,6.9,0.1392,0.0683,0.1902,2.0447,2.4653,2.667,2.9687,3.3715
West Virginia,2022,0.637,689.2,55.0,0.0843,0.0001,0.0247,9.6,0.6919,0.3397,0.981,4.6365,6.6738,6.8762,7.1786,7.5824
West Virginia,2030,0.637,234.33,48.8,0.079,0.0001,0.0247,9.6,0.2087,0.1025,0.2959,3.854,4.4859,4.6883,4.9907,5.3945
West Virginia,2040,0.637,192.11,47.14,0.0723,0.0001,0.0247,9.6,0.1653,0.0811,0.2343,3.4089,3.9145,4.1168,4.4192,4.8231
West Virginia,2050,0.637,177.05,46.18,0.0657,0.0001,0.0247,9.6,0.1492,0.0733,0.2116,3.0322,3.491,3.6934,3.9958,4.3996
West Virginia,2060,0.637,163.17,45.22,0.059,0.0001,0.0247,9.6,0.1347,0.0661,0.1909,2.6682,3.0847,3.2871,3.5895,3.9933
Wisconsin,2022,0.689,693.31,55.0,0.0829,0.0,0.0277,8.6,0.6439,0.3161,0.9857,4.5595,6.5328,6.735,7.0371,7.4406
Wisconsin,2030,0.689,235.72,48.8,0.0777,0.0,0.0277,8.6,0.1942,0.0954,0.2974,3.79,4.4047,4.6068,4.909,5.3124
Wisconsin,2040,0.689,193.26,47.14,0.0711,0.0,0.0277,8.6,0.1538,0.0755,0.2355,3.3523,3.8448,4.0469,4.3491,4.7525
Wisconsin,2050,0.689,178.11,46.18,0.0646,0.0,0.0277,8.6,0.1389,0.0682,0.2126,2.9818,3.4291,3.6313,3.9334,4.3369
Wisconsin,2060,0.689,164.14,45.22,0.058,0.0,0.0277,8.6,0.1253,0.0615,0.1918,2.6239,3.0303,3.2324,3.5346,3.938
Wyoming,2022,0.774,679.78,55.0,0.0847,0.0001,0.0172,7.9,0.5618,0.2758,0.9815,4.6585,6.4949,6.6969,6.9988,7.402
Wyoming,2030,0.774,231.13,48.8,0.0794,0.0001,0.0172,7.9,0.1695,0.0832,0.2961,3.8723,4.4384,4.6404,4.9423,5.3455
Wyoming,2040,0.774,189.49,47.14,0.0727,0.0001,0.0172,7.9,0.1342,0.0659,0.2345,3.4251,3.8769,4.0789,4.3809,4.7841
Wyoming,2050,0.774,174.63,46.18,0.066,0.0001,0.0172,7.9,0.1212,0.0595,0.2117,3.0465,3.4562,3.6582,3.9601,4.3633
Wyoming,2060,0.774,160.94,45.22,0.0593,0.0001,0.0172,7.9,0.1093,0.0537,0.191,2.6809,3.0522,3.2542,3.5562,3.9593
