State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
South Dakota,2060,2.7291,3.2331,3.2331,3.2331
Tennessee,2022,5.6741,6.1789,6.1789,6.1789
Tennessee,2030,3.281,3.7857,3.7857,3.7857
Tennessee,2040,2.8626,3.3674,3.3674,3.3674
Tennessee,2050,2.55,3.0548,3.0548,3.0548
Tennessee,2060,2.2492,2.754,2.754,2.754
Texas,2022,5.1464,5.6511,5.6511,5.6511
Texas,2030,3.1367,3.6414,3.6414,3.6414
Texas,2040,2.7464,3.2511,3.2511,3.2511
Texas,2050,2.4507,2.9554,2.9554,2.9554
Texas,2060,2.1661,2.6708,2.6708,2.6708
Utah,2022,6.062,6.566,6.566,6.566
Utah,2030,3.7107,4.2147,4.2147,4.2147
Utah,2040,3.2431,3.7471,3.7471,3.7471
Utah,2050,2.8879,3.3919,3.3919,3.3919
Utah,2060,2.5459,3.0499,3.0499,3.0499
Vermont,2022,8.7304,9.2351,9.2351,9.2351
Vermont,2030,5.6011,6.1058,6.1058,6.1058
Vermont,2040,4.9013,5.406,5.406,5.406
Vermont,2050,4.363,4.8677,4.8677,4.8677
Vermont,2060,3.8443,4.349,4.349,4.349
Virginia,2022,6.95,7.4549,7.4549,7.4549
Virginia,2030,4.2996,4.8045,4.8045,4.8045
Virginia,2040,3.7592,4.2641,4.2641,4.2641
Virginia,2050,3.3475,3.8524,3.8524,3.8524
Virginia,2060,2.9511,3.456,3.456,3.456
Washington,2022,5.6909,6.1943,6.1943,6.1943
Washington,2030,3.1599,3.6634,3.6634,3.6634
Washington,2040,2.7532,3.2567,3.2567,3.2567
Washington,2050,2.4528,2.9563,2.9563,2.9563
Washington,2060,2.1641,2.6675,2.6675,2.6675
West Virginia,2022,6.7059,7.2107,7.2107,7.2107
West Virginia,2030,4.0179,4.5227,4.5227,4.5227
West Virginia,2040,3.5093,4.0141,4.0141,4.0141
West Virginia,2050,3.1253,3.6301,3.6301,3.6301
West Virginia,2060,2.7557,3.2605,3.2605,3.2605
Wisconsin,2022,6.4864,6.9907,6.9907,6.9907
Wisconsin,2030,3.9361,4.4404,4.4404,4.4404
Wisconsin,2040,3.4394,3.9437,3.9437,3.9437
Wisconsin,2050,3.063,3.5673,3.5673,3.5673
Wisconsin,2060,2.7006,3.2049,3.2049,3.2049
Wyoming,2022,6.3381,6.8421,6.8421,6.8421
Wyoming,2030,3.9773,4.4813,4.4813,4.4813
Wyoming,2040,3.4786,3.9825,3.9825,3.9825
Wyoming,2050,3.0972,3.6012,3.6012,3.6012
Wyoming,2060,2.7299,3.2338,3.2338,3.2338
