State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Michigan,2060,0.699,205.98,34.0,0.0597,0.0001,0.0113,8.7,0.1165,0.0572,0.0,2.0301,2.2152,2.4174,2.7196,3.124
Minnesota,2022,0.7,3112.78,38.0,0.0837,0.0001,0.0064,8.2,1.9635,0.9639,0.0,3.1806,6.1145,6.3166,6.6186,7.0227
Minnesota,2030,0.7,323.73,35.2,0.0784,0.0001,0.0064,8.2,0.1892,0.0929,0.0,2.7602,3.0487,3.2507,3.5528,3.9569
Minnesota,2040,0.7,231.38,34.37,0.0718,0.0001,0.0064,8.2,0.132,0.0648,0.0,2.468,2.6713,2.8733,3.1754,3.5795
Minnesota,2050,0.7,213.24,34.0,0.0652,0.0001,0.0064,8.2,0.1204,0.0591,0.0,2.2167,2.4026,2.6047,2.9068,3.3109
Minnesota,2060,0.7,196.52,34.0,0.0586,0.0001,0.0064,8.2,0.1109,0.0544,0.0,1.9921,2.1639,2.366,2.668,3.0721
Mississippi,2022,0.706,3444.34,38.0,0.0739,0.0001,0.0048,9.7,2.1566,1.0587,0.0,2.8082,6.0284,6.2308,6.5332,6.9381
Mississippi,2030,0.706,358.21,35.2,0.0692,0.0001,0.0048,9.7,0.2078,0.102,0.0,2.437,2.7516,2.954,3.2564,3.6613
Mississippi,2040,0.706,256.03,34.37,0.0634,0.0001,0.0048,9.7,0.145,0.0712,0.0,2.179,2.4,2.6024,2.9049,3.3097
Mississippi,2050,0.706,235.95,34.0,0.0576,0.0001,0.0048,9.7,0.1322,0.0649,0.0,1.9572,2.1591,2.3615,2.664,3.0688
Mississippi,2060,0.706,217.46,34.0,0.0517,0.0001,0.0048,9.7,0.1218,0.0598,0.0,1.7588,1.9453,2.1477,2.4501,2.855
Missouri,2022,0.727,3449.94,38.0,0.0766,0.0001,0.0085,9.1,2.0979,1.0299,0.0,2.9108,6.0472,6.2495,6.5517,6.9562
Missouri,2030,0.727,358.79,35.2,0.0718,0.0001,0.0085,9.1,0.2021,0.0992,0.0,2.526,2.8359,3.0382,3.3405,3.745
Missouri,2040,0.727,256.44,34.37,0.0657,0.0001,0.0085,9.1,0.141,0.0692,0.0,2.2586,2.4775,2.6798,2.982,3.3866
Missouri,2050,0.727,236.34,34.0,0.0597,0.0001,0.0085,9.1,0.1286,0.0631,0.0,2.0287,2.229,2.4313,2.7335,3.1381
