State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Illinois,2040,0.723,192.54,45.17,0.0842,0.0001,0.014,9.0,0.1398,0.0686,0.0,3.8017,4.0241,4.5286,4.5286,4.5286
Illinois,2050,0.723,177.45,44.25,0.0764,0.0001,0.014,9.0,0.1262,0.062,0.0,3.3815,3.5837,4.0882,4.0882,4.0882
Illinois,2060,0.723,163.54,43.33,0.0687,0.0001,0.014,9.0,0.1139,0.0559,0.0,2.9756,3.1594,3.664,3.664,3.664
Indiana,2022,0.707,1380.53,55.0,0.0901,0.0001,0.0125,9.2,1.2485,0.6129,0.0,4.9555,6.8295,7.3341,7.3341,7.3341
Indiana,2030,0.707,234.69,47.0,0.0844,0.0001,0.0125,9.2,0.1814,0.089,0.0,3.9672,4.2503,4.7549,4.7549,4.7549
Indiana,2040,0.707,192.41,45.17,0.0773,0.0001,0.0125,9.2,0.1429,0.0702,0.0,3.4916,3.7174,4.2219,4.2219,4.2219
Indiana,2050,0.707,177.32,44.25,0.0702,0.0001,0.0125,9.2,0.129,0.0633,0.0,3.1057,3.3108,3.8154,3.8154,3.8154
Indiana,2060,0.707,163.42,43.33,0.0631,0.0001,0.0125,9.2,0.1164,0.0572,0.0,2.7329,2.9192,3.4238,3.4238,3.4238
Iowa,2022,0.741,1240.46,55.0,0.0604,0.0001,0.0054,8.7,1.0704,0.5255,0.0,3.322,4.9233,5.4277,5.4277,5.4277
Iowa,2030,0.741,210.88,47.0,0.0566,0.0001,0.0054,8.7,0.1555,0.0763,0.0,2.6595,2.8968,3.4012,3.4012,3.4012
Iowa,2040,0.741,172.89,45.17,0.0518,0.0001,0.0054,8.7,0.1225,0.0601,0.0,2.3407,2.5288,3.0332,3.0332,3.0332
Iowa,2050,0.741,159.33,44.25,0.047,0.0001,0.0054,8.7,0.1106,0.0543,0.0,2.082,2.2524,2.7567,2.7567,2.7567
Iowa,2060,0.741,146.84,43.33,0.0423,0.0001,0.0054,8.7,0.0998,0.049,0.0,1.8321,1.9864,2.4907,2.4907,2.4907
Kansas,2022,0.803,1367.43,55.0,0.0779,0.0003,0.0045,8.8,1.0884,0.5343,0.0,4.2845,5.912,6.4164,6.4164,6.4164
Kansas,2030,0.803,232.46,47.0,0.073,0.0003,0.0045,8.8,0.1581,0.0776,0.0,3.4301,3.6706,4.175,4.175,4.175
Kansas,2040,0.803,190.58,45.17,0.0668,0.0003,0.0045,8.8,0.1246,0.0612,0.0,3.0188,3.2094,3.7138,3.7138,3.7138
Kansas,2050,0.803,175.64,44.25,0.0607,0.0003,0.0045,8.8,0.1125,0.0552,0.0,2.6852,2.8577,3.3621,3.3621,3.3621
Kansas,2060,0.803,161.87,43.33,0.0545,0.0003,0.0045,8.8,0.1015,0.0498,0.0,2.3629,2.519,3.0234,3.0234,3.0234
