State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
North Carolina,2030,2.8264,3.3313,3.3313,3.3313
North Carolina,2040,2.467,2.972,2.972,2.972
North Carolina,2050,2.2197,2.7247,2.7247,2.7247
North Carolina,2060,2.0002,2.5051,2.5051,2.5051
North Dakota,2022,5.9793,6.4833,6.4833,6.4833
North Dakota,2030,2.8027,3.3066,3.3066,3.3066
North Dakota,2040,2.4481,2.952,2.952,2.952
North Dakota,2050,2.2022,2.7061,2.7061,2.7061
North Dakota,2060,1.9838,2.4878,2.4878,2.4878
Ohio,2022,5.9544,6.459,6.459,6.459
Ohio,2030,2.9029,3.4075,3.4075,3.4075
Ohio,2040,2.5416,3.0462,3.0462,3.0462
Ohio,2050,2.287,2.7916,2.7916,2.7916
Ohio,2060,2.0608,2.5655,2.5655,2.5655
Oklahoma,2022,4.9081,5.4126,5.4126,5.4126
Oklahoma,2030,2.0943,2.5988,2.5988,2.5988
Oklahoma,2040,1.8202,2.3248,2.3248,2.3248
Oklahoma,2050,1.6382,2.1427,2.1427,2.1427
Oklahoma,2060,1.4768,1.9813,1.9813,1.9813
Oregon,2022,6.3676,6.8712,6.8712,6.8712
Oregon,2030,2.9438,3.4474,3.4474,3.4474
Oregon,2040,2.5692,3.0728,3.0728,3.0728
Oregon,2050,2.311,2.8146,2.8146,2.8146
Oregon,2060,2.0818,2.5854,2.5854,2.5854
Pennsylvania,2022,6.7905,7.2953,7.2953,7.2953
Pennsylvania,2030,3.1868,3.6915,3.6915,3.6915
Pennsylvania,2040,2.7847,3.2894,3.2894,3.2894
Pennsylvania,2050,2.506,3.0108,3.0108,3.0108
Pennsylvania,2060,2.2586,2.7633,2.7633,2.7633
Rhode Island,2022,10.8956,11.4005,11.4005,11.4005
Rhode Island,2030,6.9564,7.4612,7.4612,7.4612
Rhode Island,2040,6.159,6.6639,6.6639,6.6639
Rhode Island,2050,5.5353,6.0401,6.0401,6.0401
Rhode Island,2060,4.9791,5.4839,5.4839,5.4839
South Carolina,2022,5.776,6.281,6.281,6.281
South Carolina,2030,2.5137,3.0187,3.0187,3.0187
South Carolina,2040,2.1869,2.6919,2.6919,2.6919
South Carolina,2050,1.9678,2.4728,2.4728,2.4728
South Carolina,2060,1.7734,2.2785,2.2785,2.2785
South Dakota,2022,6.2031,6.7072,6.7072,6.7072
South Dakota,2030,3.0792,3.5833,3.5833,3.5833
South Dakota,2040,2.697,3.201,3.201,3.201
South Dakota,2050,2.4253,2.9294,2.9294,2.9294
South Dakota,2060,2.1839,2.6879,2.6879,2.6879
Tennessee,2022,5.9197,6.4245,6.4245,6.4245
Tennessee,2030,2.57,3.0747,3.0747,3.0747
Tennessee,2040,2.2357,2.7405,2.7405,2.7405
Tennessee,2050,2.0118,2.5166,2.5166,2.5166
Tennessee,2060,1.8133,2.3181,2.3181,2.3181
Texas,2022,5.1422,5.6469,5.6469,5.6469
Texas,2030,2.4491,2.9538,2.9538,2.9538
Texas,2040,2.1456,2.6503,2.6503,2.6503
Texas,2050,1.9347,2.4394,2.4394,2.4394
Texas,2060,1.7473,2.252,2.252,2.252
Utah,2022,5.9982,6.5022,6.5022,6.5022
Utah,2030,2.8809,3.3849,3.3849,3.3849
Utah,2040,2.5194,3.0235,3.0235,3.0235
Utah,2050,2.2662,2.7703,2.7703,2.7703
Utah,2060,2.0413,2.5453,2.5453,2.5453
Vermont,2022,8.2279,8.7326,8.7326,8.7326
Vermont,2030,4.3171,4.8218,4.8218,4.8218
Vermont,2040,3.791,4.2957,4.2957,4.2957
Vermont,2050,3.4084,3.9131,3.9131,3.9131
Vermont,2060,3.0682,3.5729,3.5729,3.5729
Virginia,2022,6.8063,7.3112,7.3112,7.3112
Virginia,2030,3.3333,3.8382,3.8382,3.8382
Virginia,2040,2.9182,3.423,3.423,3.423
Virginia,2050,2.6249,3.1298,3.1298,3.1298
Virginia,2060,2.3643,2.8692,2.8692,2.8692
Washington,2022,6.1433,6.6468,6.6468,6.6468
Washington,2030,2.4908,2.9943,2.9943,2.9943
Washington,2040,2.1581,2.6616,2.6616,2.6616
Washington,2050,1.9424,2.4458,2.4458,2.4458
Washington,2060,1.7513,2.2547,2.2547,2.2547
West Virginia,2022,6.7732,7.278,7.278,7.278
West Virginia,2030,3.1296,3.6343,3.6343,3.6343
West Virginia,2040,2.7315,3.2363,3.2363,3.2363
West Virginia,2050,2.4573,2.9621,2.9621,2.9621
